date,10year,5year,3year,2year
1990-02-01,8.47,8.42,8.47,8.37
1990-03-01,8.59,8.60,8.59,8.63
1990-04-01,8.79,8.77,8.79,8.72
1990-05-01,8.76,8.74,8.76,8.64
1990-06-01,8.48,8.43,8.48,8.35
1990-07-01,8.47,8.33,8.47,8.16
1990-08-01,8.75,8.44,8.75,8.06
1990-09-01,8.89,8.51,8.89,8.08
1990-10-01,8.72,8.33,8.72,7.88
1990-11-01,8.39,8.02,8.39,7.60
1990-12-01,8.08,7.73,8.08,7.31
1991-01-01,8.09,7.70,8.09,7.13
1991-02-01,7.85,7.47,7.85,6.87
1991-03-01,8.11,7.77,8.11,7.10
1991-04-01,8.04,7.70,8.04,6.95
1991-05-01,8.07,7.70,8.07,6.78
1991-06-01,8.28,7.94,8.28,6.96
1991-07-01,8.27,7.91,8.27,6.92
1991-08-01,7.90,7.43,7.90,6.43
1991-09-01,7.65,7.14,7.65,6.18
1991-10-01,7.53,6.87,7.53,5.91
1991-11-01,7.42,6.62,7.42,5.56
1991-12-01,7.09,6.19,7.09,5.03
1992-01-01,7.03,6.24,7.03,4.96
1992-02-01,7.34,6.58,7.34,5.21
1992-03-01,7.54,6.95,7.54,5.69
1992-04-01,7.48,6.78,7.48,5.34
1992-05-01,7.39,6.69,7.39,5.23
1992-06-01,7.26,6.48,7.26,5.05
1992-07-01,6.84,5.84,6.84,4.36
1992-08-01,6.59,5.60,6.59,4.19
1992-09-01,6.42,5.38,6.42,3.89
1992-10-01,6.59,5.60,6.59,4.08
1992-11-01,6.87,6.04,6.87,4.58
1992-12-01,6.77,6.08,6.77,4.67
1993-01-01,6.60,5.83,6.60,4.39
1993-02-01,6.26,5.43,6.26,4.10
1993-03-01,5.98,5.19,5.98,3.95
1993-04-01,5.97,5.13,5.97,3.84
1993-05-01,6.04,5.20,6.04,3.98
1993-06-01,5.96,5.22,5.96,4.16
1993-07-01,5.81,5.09,5.81,4.07
1993-08-01,5.68,5.03,5.68,4.00
1993-09-01,5.36,4.73,5.36,3.85
1993-10-01,5.33,4.71,5.33,3.87
1993-11-01,5.72,5.06,5.72,4.16
1993-12-01,5.77,5.15,5.77,4.21
1994-01-01,5.75,5.09,5.75,4.14
1994-02-01,5.97,5.40,5.97,4.47
1994-03-01,6.48,5.94,6.48,5.00
1994-04-01,6.97,6.52,6.97,5.55
1994-05-01,7.18,6.78,7.18,5.97
1994-06-01,7.10,6.70,7.10,5.93
1994-07-01,7.30,6.91,7.30,6.13
1994-08-01,7.24,6.88,7.24,6.18
1994-09-01,7.46,7.08,7.46,6.39
1994-10-01,7.74,7.40,7.74,6.73
1994-11-01,7.96,7.72,7.96,7.15
1994-12-01,7.81,7.78,7.81,7.59
1995-01-01,7.78,7.76,7.78,7.51
1995-02-01,7.47,7.37,7.47,7.11
1995-03-01,7.20,7.05,7.20,6.78
1995-04-01,7.06,6.86,7.06,6.57
1995-05-01,6.63,6.41,6.63,6.17
1995-06-01,6.17,5.93,6.17,5.72
1995-07-01,6.28,6.01,6.28,5.78
1995-08-01,6.49,6.24,6.49,5.98
1995-09-01,6.20,6.00,6.20,5.81
1995-10-01,6.04,5.86,6.04,5.70
1995-11-01,5.93,5.69,5.93,5.48
1995-12-01,5.71,5.51,5.71,5.32
1996-01-01,5.65,5.36,5.65,5.11
1996-02-01,5.81,5.38,5.81,5.03
1996-03-01,6.27,5.97,6.27,5.66
1996-04-01,6.51,6.30,6.51,5.96
1996-05-01,6.74,6.48,6.74,6.10
1996-06-01,6.91,6.69,6.91,6.30
1996-07-01,6.87,6.64,6.87,6.27
1996-08-01,6.64,6.39,6.64,6.03
1996-09-01,6.83,6.60,6.83,6.23
1996-10-01,6.53,6.27,6.53,5.91
1996-11-01,6.20,5.97,6.20,5.70
1996-12-01,6.30,6.07,6.30,5.78
1997-01-01,6.58,6.33,6.58,6.01
1997-02-01,6.42,6.20,6.42,5.90
1997-03-01,6.69,6.54,6.69,6.22
1997-04-01,6.89,6.76,6.89,6.45
1997-05-01,6.71,6.57,6.71,6.28
1997-06-01,6.49,6.38,6.49,6.09
1997-07-01,6.22,6.12,6.22,5.89
1997-08-01,6.30,6.16,6.30,5.94
1997-09-01,6.21,6.11,6.21,5.88
1997-10-01,6.03,5.93,6.03,5.77
1997-11-01,5.88,5.80,5.88,5.71
1997-12-01,5.81,5.77,5.81,5.72
1998-01-01,5.54,5.42,5.54,5.36
1998-02-01,5.57,5.49,5.57,5.42
1998-03-01,5.65,5.61,5.65,5.56
1998-04-01,5.64,5.61,5.64,5.56
1998-05-01,5.65,5.63,5.65,5.59
1998-06-01,5.50,5.52,5.50,5.52
1998-07-01,5.46,5.46,5.46,5.46
1998-08-01,5.34,5.27,5.34,5.27
1998-09-01,4.81,4.62,4.81,4.67
1998-10-01,4.53,4.18,4.53,4.09
1998-11-01,4.83,4.54,4.83,4.54
1998-12-01,4.65,4.45,4.65,4.51
1999-01-01,4.72,4.60,4.72,4.62
1999-02-01,5.00,4.91,5.00,4.88
1999-03-01,5.23,5.14,5.23,5.05
1999-04-01,5.18,5.08,5.18,4.98
1999-05-01,5.54,5.44,5.54,5.25
1999-06-01,5.90,5.81,5.90,5.62
1999-07-01,5.79,5.68,5.79,5.55
1999-08-01,5.94,5.84,5.94,5.68
1999-09-01,5.92,5.80,5.92,5.66
1999-10-01,6.11,6.03,6.11,5.86
1999-11-01,6.03,5.97,6.03,5.86
1999-12-01,6.28,6.19,6.28,6.10
2000-01-01,6.66,6.58,6.66,6.44
2000-02-01,6.52,6.68,6.52,6.61
2000-03-01,6.26,6.50,6.26,6.53
2000-04-01,5.99,6.26,5.99,6.40
2000-05-01,6.44,6.69,6.44,6.81
2000-06-01,6.10,6.30,6.10,6.48
2000-07-01,6.05,6.18,6.05,6.34
2000-08-01,5.83,6.06,5.83,6.23
2000-09-01,5.80,5.93,5.80,6.08
2000-10-01,5.74,5.78,5.74,5.91
2000-11-01,5.72,5.70,5.72,5.88
2000-12-01,5.24,5.17,5.24,5.35
2001-01-01,5.16,4.86,5.16,4.76
2001-02-01,5.10,4.89,5.10,4.66
2001-03-01,4.89,4.64,4.89,4.34
2001-04-01,5.14,4.76,5.14,4.23
2001-05-01,5.39,4.93,5.39,4.26
2001-06-01,5.28,4.81,5.28,4.08
2001-07-01,5.24,4.76,5.24,4.04
2001-08-01,4.97,4.57,4.97,3.76
2001-09-01,4.73,4.12,4.73,3.12
2001-10-01,4.57,3.91,4.57,2.73
2001-11-01,4.65,3.97,4.65,2.78
2001-12-01,5.09,4.39,5.09,3.11
2002-01-01,5.04,4.34,5.04,3.03
2002-02-01,4.91,4.30,4.91,3.02
2002-03-01,5.28,4.74,5.28,3.56
2002-04-01,5.21,4.65,5.21,3.42
2002-05-01,5.16,4.49,5.16,3.26
2002-06-01,4.93,4.19,4.93,2.99
2002-07-01,4.65,3.81,4.65,2.56
2002-08-01,4.26,3.29,4.26,2.13
2002-09-01,3.87,2.94,3.87,2.00
2002-10-01,3.94,2.95,3.94,1.91
2002-11-01,4.05,3.05,4.05,1.92
2002-12-01,4.03,3.03,4.03,1.84
2003-01-01,4.05,3.05,4.05,1.74
2003-02-01,3.90,2.90,3.90,1.63
2003-03-01,3.81,2.78,3.81,1.57
2003-04-01,3.96,2.93,3.96,1.62
2003-05-01,3.57,2.52,3.57,1.42
2003-06-01,3.33,2.27,3.33,1.23
2003-07-01,3.98,2.87,3.98,1.47
2003-08-01,4.45,3.37,4.45,1.86
2003-09-01,4.27,3.18,4.27,1.71
2003-10-01,4.29,3.19,4.29,1.75
2003-11-01,4.30,3.29,4.30,1.93
2003-12-01,4.27,3.27,4.27,1.91
2004-01-01,4.15,3.12,4.15,1.76
2004-02-01,4.08,3.07,4.08,1.74
2004-03-01,3.83,2.79,3.83,1.58
2004-04-01,4.35,3.39,4.35,2.07
2004-05-01,4.72,3.85,4.72,2.53
2004-06-01,4.73,3.93,4.73,2.76
2004-07-01,4.50,3.69,4.50,2.64
2004-08-01,4.28,3.47,4.28,2.51
2004-09-01,4.13,3.36,4.13,2.53
2004-10-01,4.10,3.35,4.10,2.58
2004-11-01,4.19,3.53,4.19,2.85
2004-12-01,4.23,3.60,4.23,3.01
2005-01-01,4.22,3.71,4.22,3.22
2005-02-01,4.17,3.77,4.17,3.38
2005-03-01,4.50,4.17,4.50,3.73
2005-04-01,4.34,4.00,4.34,3.65
2005-05-01,4.14,3.85,4.14,3.64
2005-06-01,4.00,3.77,4.00,3.64
2005-07-01,4.18,3.98,4.18,3.87
2005-08-01,4.26,4.12,4.26,4.04
2005-09-01,4.20,4.01,4.20,3.95
2005-10-01,4.46,4.33,4.46,4.27
2005-11-01,4.54,4.45,4.54,4.42
2005-12-01,4.47,4.39,4.47,4.40
2006-01-01,4.42,4.35,4.42,4.40
2006-02-01,4.57,4.57,4.57,4.67
2006-03-01,4.72,4.72,4.72,4.73
2006-04-01,4.99,4.90,4.99,4.89
2006-05-01,5.11,5.00,5.11,4.97
2006-06-01,5.11,5.07,5.11,5.12
2006-07-01,5.09,5.04,5.09,5.12
2006-08-01,4.88,4.82,4.88,4.90
2006-09-01,4.72,4.67,4.72,4.77
2006-10-01,4.73,4.69,4.73,4.80
2006-11-01,4.60,4.58,4.60,4.74
2006-12-01,4.56,4.53,4.56,4.67
2007-01-01,4.76,4.75,4.76,4.88
2007-02-01,4.72,4.71,4.72,4.85
2007-03-01,4.56,4.48,4.56,4.57
2007-04-01,4.69,4.59,4.69,4.67
2007-05-01,4.75,4.67,4.75,4.77
2007-06-01,5.10,5.03,5.10,4.98
2007-07-01,5.00,4.88,5.00,4.82
2007-08-01,4.67,4.43,4.67,4.31
2007-09-01,4.52,4.20,4.52,4.01
2007-10-01,4.53,4.20,4.53,3.97
2007-11-01,4.15,3.67,4.15,3.34
2007-12-01,4.10,3.49,4.10,3.12
2008-01-01,3.74,2.98,3.74,2.48
2008-02-01,3.74,2.78,3.74,1.97
2008-03-01,3.51,2.48,3.51,1.62
2008-04-01,3.68,2.84,3.68,2.05
2008-05-01,3.88,3.15,3.88,2.45
2008-06-01,4.10,3.49,4.10,2.77
2008-07-01,4.01,3.30,4.01,2.57
2008-08-01,3.89,3.14,3.89,2.42
2008-09-01,3.69,2.88,3.69,2.08
2008-10-01,3.81,2.73,3.81,1.61
2008-11-01,3.53,2.29,3.53,1.21
2008-12-01,2.42,1.52,2.42,0.82
2009-01-01,2.52,1.60,2.52,0.81
2009-02-01,2.87,1.87,2.87,0.98
2009-03-01,2.82,1.82,2.82,0.93
2009-04-01,2.93,1.86,2.93,0.93
2009-05-01,3.29,2.13,3.29,0.93
2009-06-01,3.72,2.71,3.72,1.18
2009-07-01,3.56,2.46,3.56,1.02
2009-08-01,3.59,2.57,3.59,1.12
2009-09-01,3.40,2.37,3.40,0.96
2009-10-01,3.39,2.33,3.39,0.95
2009-11-01,3.40,2.23,3.40,0.80
2009-12-01,3.59,2.34,3.59,0.87
2010-01-01,3.73,2.48,3.73,0.93
2010-02-01,3.69,2.36,3.69,0.86
2010-03-01,3.73,2.43,3.73,0.96
2010-04-01,3.85,2.58,3.85,1.06
2010-05-01,3.42,2.18,3.42,0.83
2010-06-01,3.20,2.00,3.20,0.72
2010-07-01,3.01,1.76,3.01,0.62
2010-08-01,2.70,1.47,2.70,0.52
2010-09-01,2.65,1.41,2.65,0.48
2010-10-01,2.54,1.18,2.54,0.38
2010-11-01,2.76,1.35,2.76,0.45
2010-12-01,3.29,1.93,3.29,0.62
2011-01-01,3.39,1.99,3.39,0.61
2011-02-01,3.58,2.26,3.58,0.77
2011-03-01,3.41,2.11,3.41,0.70
2011-04-01,3.46,2.17,3.46,0.73
2011-05-01,3.17,1.84,3.17,0.56
2011-06-01,3.00,1.58,3.00,0.41
2011-07-01,3.00,1.54,3.00,0.41
2011-08-01,2.30,1.02,2.30,0.23
2011-09-01,1.98,0.90,1.98,0.21
2011-10-01,2.15,1.06,2.15,0.28
2011-11-01,2.01,0.91,2.01,0.25
2011-12-01,1.98,0.89,1.98,0.26
2012-01-01,1.97,0.84,1.97,0.24
2012-02-01,1.97,0.83,1.97,0.28
2012-03-01,2.17,1.02,2.17,0.34
2012-04-01,2.05,0.89,2.05,0.29
2012-05-01,1.80,0.76,1.80,0.29
2012-06-01,1.62,0.71,1.62,0.29
2012-07-01,1.53,0.62,1.53,0.25
2012-08-01,1.68,0.71,1.68,0.27
2012-09-01,1.72,0.67,1.72,0.26
2012-10-01,1.75,0.71,1.75,0.28
2012-11-01,1.65,0.67,1.65,0.27
2012-12-01,1.72,0.70,1.72,0.26
2013-01-01,1.91,0.81,1.91,0.27
2013-02-01,1.98,0.85,1.98,0.27
2013-03-01,1.96,0.82,1.96,0.26
2013-04-01,1.76,0.71,1.76,0.23
2013-05-01,1.93,0.84,1.93,0.25
2013-06-01,2.30,1.20,2.30,0.33
2013-07-01,2.58,1.40,2.58,0.34
2013-08-01,2.74,1.52,2.74,0.36
2013-09-01,2.81,1.60,2.81,0.40
2013-10-01,2.62,1.37,2.62,0.34
2013-11-01,2.72,1.37,2.72,0.30
2013-12-01,2.90,1.58,2.90,0.34
2014-01-01,2.86,1.65,2.86,0.39
2014-02-01,2.71,1.52,2.71,0.33
2014-03-01,2.72,1.64,2.72,0.40
2014-04-01,2.71,1.70,2.71,0.42
2014-05-01,2.56,1.59,2.56,0.39
2014-06-01,2.60,1.68,2.60,0.45
2014-07-01,2.54,1.70,2.54,0.51
2014-08-01,2.42,1.63,2.42,0.47
2014-09-01,2.53,1.77,2.53,0.57
2014-10-01,2.30,1.55,2.30,0.45
2014-11-01,2.33,1.62,2.33,0.53
2014-12-01,2.21,1.64,2.21,0.64
2015-01-01,1.88,1.37,1.88,0.55
2015-02-01,1.98,1.47,1.98,0.62
2015-03-01,2.04,1.52,2.04,0.64
2015-04-01,1.94,1.35,1.94,0.54
2015-05-01,2.20,1.54,2.20,0.61
2015-06-01,2.36,1.68,2.36,0.69
2015-07-01,2.32,1.63,2.32,0.67
2015-08-01,2.17,1.54,2.17,0.70
2015-09-01,2.17,1.49,2.17,0.71
2015-10-01,2.07,1.39,2.07,0.64
2015-11-01,2.26,1.67,2.26,0.88
2015-12-01,2.24,1.70,2.24,0.98
2016-01-01,2.09,1.52,2.09,0.90
2016-02-01,1.78,1.22,1.78,0.73
2016-03-01,1.89,1.38,1.89,0.88
2016-04-01,1.81,1.26,1.81,0.77
2016-05-01,1.81,1.30,1.81,0.82
2016-06-01,1.64,1.17,1.64,0.73
2016-07-01,1.50,1.07,1.50,0.67
2016-08-01,1.56,1.13,1.56,0.74
2016-09-01,1.63,1.18,1.63,0.77
2016-10-01,1.76,1.27,1.76,0.84
2016-11-01,2.14,1.60,2.14,0.98
2016-12-01,2.49,1.96,2.49,1.20
2017-01-01,2.43,1.92,2.43,1.21
2017-02-01,2.42,1.90,2.42,1.20
2017-03-01,2.48,2.01,2.48,1.31
2017-04-01,2.30,1.82,2.30,1.24
2017-05-01,2.30,1.84,2.30,1.30
2017-06-01,2.19,1.77,2.19,1.34
2017-07-01,2.32,1.87,2.32,1.37
2017-08-01,2.21,1.78,2.21,1.34
2017-09-01,2.20,1.80,2.20,1.38
2017-10-01,2.36,1.98,2.36,1.55
2017-11-01,2.35,2.05,2.35,1.70
2017-12-01,2.40,2.18,2.40,1.84
2018-01-01,2.58,2.38,2.58,2.03
2018-02-01,2.86,2.60,2.86,2.18
2018-03-01,2.84,2.63,2.84,2.28
2018-04-01,2.87,2.70,2.87,2.38
2018-05-01,2.98,2.82,2.98,2.51
2018-06-01,2.91,2.78,2.91,2.53
2018-07-01,2.89,2.78,2.89,2.61
2018-08-01,2.89,2.77,2.89,2.64
2018-09-01,3.00,2.89,3.00,2.77
2018-10-01,3.15,3.00,3.15,2.86
2018-11-01,3.12,2.95,3.12,2.86
2018-12-01,2.83,2.68,2.83,2.68
2019-01-01,2.71,2.54,2.71,2.54
2019-02-01,2.68,2.49,2.68,2.50
2019-03-01,2.57,2.37,2.57,2.41
2019-04-01,2.53,2.33,2.53,2.34
2019-05-01,2.40,2.19,2.40,2.21
2019-06-01,2.07,1.83,2.07,1.81
2019-07-01,2.06,1.83,2.06,1.84
2019-08-01,1.63,1.49,1.63,1.57
2019-09-01,1.70,1.57,1.70,1.65
2019-10-01,1.71,1.53,1.71,1.55
2019-11-01,1.81,1.64,1.81,1.61
2019-12-01,1.86,1.68,1.86,1.61
2020-01-01,1.76,1.56,1.76,1.52
2020-02-01,1.50,1.32,1.50,1.33
2020-03-01,0.87,0.59,0.87,0.45
2020-04-01,0.66,0.39,0.66,0.22
2020-05-01,0.67,0.34,0.67,0.17
2020-06-01,0.73,0.34,0.73,0.19
2020-07-01,0.62,0.28,0.62,0.15
2020-08-01,0.65,0.27,0.65,0.14
2020-09-01,0.68,0.27,0.68,0.13
2020-10-01,0.79,0.34,0.79,0.15
2020-11-01,0.87,0.39,0.87,0.17
2020-12-01,0.93,0.39,0.93,0.14
2021-01-01,1.08,0.45,1.08,0.13
2021-02-01,1.26,0.54,1.26,0.12
2021-03-01,1.61,0.82,1.61,0.15
2021-04-01,1.64,0.86,1.64,0.16
2021-05-01,1.62,0.82,1.62,0.16
2021-06-01,1.52,0.84,1.52,0.20
2021-07-01,1.32,0.76,1.32,0.22
2021-08-01,1.28,0.77,1.28,0.22
2021-09-01,1.37,0.86,1.37,0.24
2021-10-01,1.58,1.11,1.58,0.39
2021-11-01,1.56,1.20,1.56,0.51
2021-12-01,1.47,1.23,1.47,0.68
2022-01-01,1.76,1.54,1.76,0.98
2022-02-01,1.93,1.81,1.93,1.44
2022-03-01,2.13,2.11,2.13,1.91
2022-04-01,2.75,2.78,2.75,2.54
2022-05-01,2.90,2.87,2.90,2.62
2022-06-01,3.14,3.19,3.14,3.00
2022-07-01,2.90,2.96,2.90,3.04
2022-08-01,2.90,3.03,2.90,3.25
2022-09-01,3.52,3.70,3.52,3.86
2022-10-01,3.98,4.18,3.98,4.38
2022-11-01,3.89,4.06,3.89,4.50
2022-12-01,3.62,3.76,3.62,4.29
2023-01-01,3.53,3.64,3.53,4.21
2023-02-01,3.75,3.94,3.75,4.53
2023-03-01,3.66,3.82,3.66,4.30
2023-04-01,3.46,3.54,3.46,4.02
2023-05-01,3.57,3.59,3.57,4.13
2023-06-01,3.75,3.95,3.75,4.64
2023-07-01,3.90,4.14,3.90,4.83
2023-08-01,4.17,4.31,4.17,4.90
2023-09-01,4.38,4.49,4.38,5.02
2023-10-01,4.80,4.77,4.80,5.07
2023-11-01,4.50,4.49,4.50,4.88
2023-12-01,4.02,4.00,4.02,4.46
2024-01-01,4.06,3.98,4.06,4.32
2024-02-01,4.21,4.19,4.21,4.54
2024-03-01,4.21,4.2,4.21,4.59
2024-04-01,4.54,4.56,4.54,4.87
2024-05-01,4.48,4.5,4.48,4.86
2024-06-01,4.31,4.32,4.31,4.74
2024-07-01,4.25,4.16,4.25,4.5
2024-08-01,3.87,3.71,3.87,3.97
2024-09-01,3.72,3.5,3.72,3.62
2024-10-01,4.1,3.91,4.1,3.97
